Fecha,Pronostico,li_95,ls_95
2019-01-01,347023.6300947656,NA,NA
2019-02-01,382406.21414122,NA,NA
2019-03-01,266243.4946727939,NA,NA
2019-04-01,253879.87164435876,NA,NA
2019-05-01,272415.3185007009,NA,NA
2019-06-01,226098.68212961504,NA,NA
2019-07-01,297377.3327397469,NA,NA
2019-08-01,249872.88527914614,NA,NA
2019-09-01,298330.3797180334,NA,NA
2019-10-01,257508.24304497658,NA,NA
2019-11-01,225419.36404069792,NA,NA
2019-12-01,266055.6869867579,NA,NA
2020-01-01,347258.1059881996,NA,NA
2020-02-01,383050.6291793926,NA,NA
2020-03-01,153448.08322930086,NA,NA
2020-04-01,97177.6625303051,NA,NA
2020-05-01,29396.39640754657,NA,NA
2020-06-01,-23520.925658805776,NA,NA
2020-07-01,73851.51165793407,NA,NA
2020-08-01,-19425.971146262178,NA,NA
2020-09-01,60593.086350457634,NA,NA
2020-10-01,33883.66964259522,NA,NA
2020-11-01,6649.076719831894,NA,NA
2020-12-01,74699.66324534529,NA,NA
2021-01-01,124849.61633422638,NA,NA
2021-02-01,102246.5386785111,NA,NA
2021-03-01,-58735.10902263119,NA,NA
2021-04-01,-47150.70376275587,NA,NA
2021-05-01,17640.562943446515,NA,NA
2021-06-01,10944.632731231894,NA,NA
2021-07-01,30284.455640631513,NA,NA
2021-08-01,26593.36000496318,NA,NA
2021-09-01,55986.58633019245,NA,NA
2021-10-01,20626.869892134535,NA,NA
2021-11-01,69203.0244040239,NA,NA
2021-12-01,99409.57835813635,NA,NA
2022-01-01,118135.85667712771,NA,NA
2022-02-01,125515.55014127724,NA,NA
2022-03-01,100060.85373043062,NA,NA
2022-04-01,121296.89511959528,NA,NA
2022-05-01,122574.02670356238,NA,NA
2022-06-01,148640.36609002255,NA,NA
2022-07-01,202583.69869678916,NA,NA
2022-08-01,191300.0230456515,NA,NA
2022-09-01,202350.28270296974,NA,NA
2022-10-01,273742.3793115467,NA,NA
2022-11-01,248089.56133811263,NA,NA
2022-12-01,243643.05524330374,NA,NA
2023-01-01,312814.0158234993,NA,NA
2023-02-01,331515.13007452374,NA,NA
2023-03-01,321305.0151023192,NA,NA
2023-04-01,209175.1262239234,NA,NA
2023-05-01,324343.62524029624,NA,NA
2023-06-01,279535.6000595936,NA,NA
2023-07-01,300779.1000135386,NA,NA
2023-08-01,278741.1050167442,NA,NA
2023-09-01,288772.021592029,NA,NA
2023-10-01,268017.2286749849,NA,NA
2023-11-01,300660.89396542835,NA,NA
2023-12-01,328176.9061908077,NA,NA
2024-01-01,383814.8357344401,NA,NA
2024-02-01,476219.14735484973,NA,NA
2024-03-01,352686.4657723554,NA,NA
2024-04-01,279697.9355115312,NA,NA
2024-05-01,227434.86966804444,NA,NA
2024-06-01,232553.76880598243,NA,NA
2024-07-01,281029.1388222357,NA,NA
2024-08-01,236813.2188164763,NA,NA
2024-09-01,284036.3776775289,NA,NA
2024-10-01,340528.3758100292,NA,NA
2024-11-01,298587.63819658896,NA,NA
2024-12-01,306068.75292148395,NA,NA
2025-01-01,359386.886765056,NA,NA
2025-02-01,402419.7255249896,NA,NA
2025-03-01,295580.29104184784,NA,NA
2025-04-01,213333.80994679756,NA,NA
2025-05-01,272865.51293259405,NA,NA
2025-06-01,281004.2105591581,NA,NA
2025-07-01,248109.20277589263,NA,NA
2025-08-01,241008.15011689073,NA,NA
2025-09-01,289729.7921613542,NA,NA
2025-10-01,268777.97574524255,NA,NA
2025-11-01,243874.73675857356,NA,NA
2025-12-01,281398.82837514556,NA,NA
2026-01-01,381615.3603363006,NA,NA
2026-02-01,444633.37984500366,NA,NA
2026-03-01,298298.0042195479,NA,NA
2026-04-01,295200.77681297075,222970.44208811768,332718.175781701
2026-05-01,309968.9119510793,212699.08027168355,362312.3359552707
2026-06-01,273968.9236073821,160328.84552969455,343350.00635282026
2026-07-01,296504.8431220895,171114.2979172513,388825.53333354724
2026-08-01,265417.5971426836,131224.90713846422,353909.2930814817
2026-09-01,312975.7226258514,172027.39593762194,428915.03842997574
