Fecha,Tendencia,Estacional,Residuo
2019-01-01,296622.8602301324,62488.95569923965,-11740.815929372038
2019-02-01,293522.65453076456,141019.63817153007,-51753.292702294624
2019-03-01,290422.44883139664,-26270.43746589042,2357.988634493784
2019-04-01,286642.94559526024,-38586.466701397774,6077.521106137545
2019-05-01,282863.4423591239,-21541.191617479046,11365.749258355121
2019-06-01,278334.64152534923,-43289.299996267175,-8720.341529082041
2019-07-01,273805.8406915746,-25219.353272157947,49088.51258058334
2019-08-01,268025.85228954884,-40631.747756234356,22728.895466685528
2019-09-01,262245.8638875231,-5100.480423206619,41483.61653568351
2019-10-01,250331.77285504655,1132.059314796163,6302.167830157268
2019-11-01,238417.68182257,-20429.219281986814,7656.53745941681
2019-12-01,216867.25890824245,16427.54153198194,33027.19955977562
2020-01-01,195316.83599391486,62488.95569923965,89372.20830684551
2020-02-01,173430.7690165731,141019.63817153007,71070.59281189684
2020-03-01,151544.70203923128,-26270.43746589042,-2304.264573340857
2020-04-01,131108.89005835186,-38586.466701397774,-91259.42335695408
2020-05-01,110673.07807747246,-21541.191617479046,-87145.8864599934
2020-06-01,89666.76773157768,-43289.299996267175,-43433.46773531051
2020-07-01,68660.45738568292,-25219.353272157947,-38663.104113524976
2020-08-01,54542.833843747234,-40631.747756234356,-7038.086087512878
2020-09-01,40425.210301811545,-5100.480423206619,-24846.729878604925
2020-10-01,36439.83480601105,1132.059314796163,-21188.894120807214
2020-11-01,32454.45931021056,-20429.219281986814,12972.759971776253
2020-12-01,33808.360173715184,16427.54153198194,-12184.901705697124
2021-01-01,35162.2610372198,62488.95569923965,-49198.21673645945
2021-02-01,37674.92889378738,141019.63817153007,-135278.56706531745
2021-03-01,40187.59675035495,-26270.43746589042,20637.840715535473
2021-04-01,44193.84033500064,-38586.466701397774,2509.626366397133
2021-05-01,48200.083919646335,-21541.191617479046,-19132.89230216729
2021-06-01,53173.230786661356,-43289.299996267175,2722.069209605819
2021-07-01,58146.37765367638,-25219.353272157947,-12530.024381518437
2021-08-01,65019.61954980272,-40631.747756234356,16599.128206431633
2021-09-01,71892.86144592907,-5100.480423206619,-16987.381022722453
2021-10-01,82570.20136925776,1132.059314796163,-19715.260684053923
2021-11-01,93247.54129258647,-20429.219281986814,12201.677989400356
2021-12-01,106667.73653119797,16427.54153198194,-24085.27806317991
2022-01-01,120087.93176980947,62488.95569923965,-56754.887469049114
2022-02-01,134036.71717045657,141019.63817153007,-152727.35534198664
2022-03-01,147985.5025711037,-26270.43746589042,-6917.06510521326
2022-04-01,162150.07257123193,-38586.466701397774,-7231.605869834137
2022-05-01,176314.64257136016,-21541.191617479046,21519.54904611889
2022-06-01,189891.40574660822,-43289.299996267175,22636.894249658973
2022-07-01,203468.1689218563,-25219.353272157947,30361.184350301657
2022-08-01,215125.7744288447,-40631.747756234356,3534.9733273896563
2022-09-01,226783.37993583313,-5100.480423206619,-5786.899512626522
2022-10-01,237434.34532075142,1132.059314796163,16586.595364452398
2022-11-01,248085.31070566972,-20429.219281986814,-10881.091423682898
2022-12-01,257858.7025374017,16427.54153198194,-18883.244069383625
2023-01-01,267632.0943691337,62488.95569923965,-14875.050068373355
2023-02-01,276535.78666172345,141019.63817153007,-4908.42483325355
2023-03-01,285439.4789543132,-26270.43746589042,6647.958511577221
2023-04-01,293793.725813582,-38586.466701397774,31846.740887815773
2023-05-01,302147.9726728508,-21541.191617479046,12230.2189446282
2023-06-01,309655.6002965734,-43289.299996267175,10363.699699693767
2023-07-01,317163.227920296,-25219.353272157947,22789.125351861934
2023-08-01,321652.1561609072,-40631.747756234356,-16973.40840467281
2023-09-01,326141.08440151834,-5100.480423206619,-2078.603978311701
2023-10-01,326154.20091077115,1132.059314796163,19856.739774432674
2023-11-01,326167.31742002396,-20429.219281986814,2843.9018619628623
2023-12-01,323696.1830317891,16427.54153198194,13761.275436228956
2024-01-01,321225.0486435542,62488.95569923965,33271.995657206164
2024-02-01,318606.67020842317,141019.63817153007,27634.69162004674
2024-03-01,315988.2917732921,-26270.43746589042,-5129.8543074016925
2024-04-01,313198.77211705706,-38586.466701397774,-29585.30541565927
2024-05-01,310409.252460822,-21541.191617479046,-43343.06084334297
2024-06-01,307417.7421552505,-43289.299996267175,2650.557841016678
2024-07-01,304426.231849679,-25219.353272157947,-16895.87857752107
2024-08-01,302174.2572862877,-40631.747756234356,-7585.509530053358
2024-09-01,299922.2827228964,-5100.480423206619,17806.197700310266
2024-10-01,298923.7270157834,1132.059314796163,11465.213669420395
2024-11-01,297925.1713086704,-20429.219281986814,-403.95202668360434
2024-12-01,296634.8410960996,16427.54153198194,3999.617371918459
2025-01-01,295344.5108835288,62488.95569923965,25660.533417231578
2025-02-01,293467.15728204855,141019.63817153007,-12671.795453578641
2025-03-01,291589.8036805683,-26270.43746589042,-13228.366214677866
2025-04-01,289534.02055921906,-38586.466701397774,-2504.5538578212727
2025-05-01,287478.23743786983,-21541.191617479046,788.9541796091944
2025-06-01,287850.775759675,-43289.299996267175,-1735.475763407827
