Fecha,arima_Pronostico,arima_li,arima_ls,sarimax_Pronostico,sarimax_li,sarimax_ls,Variable
2026-01-01,29716.77804808132,18134.1420881773,41299.41400798534,33283.465273952126,24579.48333892653,41987.44720897773,01. XV - ARICA Y PARINACOTA
2026-02-01,28580.688766754236,12530.560699468668,44630.816834039804,27740.370768508063,15972.996290895508,39507.74524612062,01. XV - ARICA Y PARINACOTA
2026-03-01,27654.57990033092,9083.056887595554,46226.10291306628,24176.166456365572,10378.250576215434,37974.08233651571,01. XV - ARICA Y PARINACOTA
2026-04-01,26802.95673004289,7043.437386238558,46562.476073847225,21967.365764225855,6691.452539571179,37243.27898888053,01. XV - ARICA Y PARINACOTA
2026-05-01,27292.51296909773,7109.811966582438,47475.21397161302,21668.543091847103,5269.641865933114,38067.444317761096,01. XV - ARICA Y PARINACOTA
2026-06-01,27929.713690733268,7096.707716337212,48762.71966512932,22169.694428277286,4896.352322231942,39443.03653432263,01. XV - ARICA Y PARINACOTA
2026-01-01,0,0,374.7487587271704,0,0,338.0084251176955,Chacalluta - Aeropuerto
2026-02-01,7.708912602086354,0,535.341839874462,5.212435617358684,0,472.7972445445278,Chacalluta - Aeropuerto
2026-03-01,0,0,645.1764186896371,0,0,540.0165547571543,Chacalluta - Aeropuerto
2026-04-01,7.430683591141031,0,753.6076847775946,0,0,598.3831397099334,Chacalluta - Aeropuerto
2026-05-01,0,0,832.5227771395362,0,0,642.815258313434,Chacalluta - Aeropuerto
2026-06-01,7.164744965537675,0,921.0311112570943,102.55689470726188,0,782.406929901466,Chacalluta - Aeropuerto
2026-01-01,15636,7899.00973068453,23372.99026931547,19122.8238675038,13028.221706700346,25217.426028307258,Concordia (Chacalluta)
2026-02-01,15636,4694.243429185397,26577.756570814603,18314.34861494857,9909.621662881156,26719.07556701598,Concordia (Chacalluta)
2026-03-01,15636,2235.1397558795943,29036.860244120406,16854.86501037299,7153.580347118199,26556.149673627777,Concordia (Chacalluta)
2026-04-01,15636,162.01946136906008,31109.980538630938,14388.17037107599,3501.158063015906,25275.182679136073,Concordia (Chacalluta)
2026-05-01,15636,0,32936.436183443795,14573.433254565383,2557.795524956471,26589.070984174294,Concordia (Chacalluta)
2026-06-01,15636,0,34587.678304701505,14407.715750149026,1369.3791391596096,27446.05236113844,Concordia (Chacalluta)
2026-01-01,12898.125589651909,6910.379949566376,18885.87122973744,15075.866293709485,11259.867800958285,18891.864786460683,Chungará
2026-02-01,10955.087042446772,3059.916410607296,18850.257674286247,9963.863566164486,5553.171534603276,14374.555597725695,Chungará
2026-03-01,10084.480773241101,1868.0979907642522,18300.86355571795,9125.449465253067,4532.185468961249,13718.713461544885,Chungará
2026-04-01,10251.559790321377,2007.06473026425,18496.054850378503,8209.306377056873,3556.3044583177607,12862.308295795985,Chungará
2026-05-01,10698.86808820415,2422.8996466841854,18974.836529724114,8914.417143287126,4241.514254575269,13587.320031998985,Chungará
2026-06-01,10933.468262318878,2545.9941158879537,19320.942408749805,9126.619446295454,4447.048724686889,13806.190167904018,Chungará
2026-01-01,1.4385723895527949,0,250.22075539790944,0,0,174.73297269271356,FF.CC. Arica - Tacna
2026-02-01,1.732370647663602,0,326.33643249762423,20.91146337557491,0,351.66043679226067,FF.CC. Arica - Tacna
2026-03-01,1.732370647663602,0,351.16394393373844,224.184313055547,0,568.3149202967932,FF.CC. Arica - Tacna
2026-04-01,1.732370647663602,0,374.3408137201065,238.68945515887114,0,605.2200721293125,FF.CC. Arica - Tacna
2026-05-01,1.732370647663602,0,396.1581295536436,203.42985996135175,0,587.7566675476492,FF.CC. Arica - Tacna
2026-06-01,1.732370647663602,0,416.8303190023221,169.24691527504277,0,567.8991665932372,FF.CC. Arica - Tacna
2026-01-01,199.7305074225892,107.08888842102107,292.37212642415733,166.30375001709393,64.86530876041809,267.7421912737698,Visviri
2026-02-01,190.9807885739233,83.8425771568053,298.1189999910413,148.41945109746376,38.09670001634781,258.7422021785797,Visviri
2026-03-01,187.82631059353253,73.52814525510016,302.12447593196487,121.6067236690678,5.567940195214362,237.64550714292125,Visviri
2026-04-01,186.6890476139012,67.2188422825117,306.15925294529075,88.65540094227735,0,208.46719145069693,Visviri
2026-05-01,186.2790377508177,62.347707827462514,310.2103676741729,105.63886874633107,0,227.97801076164663,Visviri
2026-06-01,186.1312196200629,58.06084474388686,314.20159449623895,157.71366912955938,33.66623555775848,281.7611027013603,Visviri
2026-01-01,37660.26163093319,27832.222839210342,47488.300422656044,40487.756176291885,31159.297580087696,49816.214772496074,02. I - TARAPACÁ
2026-02-01,33162.31220047687,21216.399140444388,45108.225260509345,32782.155955878785,21634.647038990133,43929.66487276743,02. I - TARAPACÁ
2026-03-01,30308.433382319647,17195.15787066283,43421.708893976465,31619.195607812555,19543.910209202266,43694.481006422844,02. I - TARAPACÁ
2026-04-01,28599.55129428362,15247.539970600461,41951.56261796678,30090.961076304466,17388.004113797702,42793.91803881123,02. I - TARAPACÁ
2026-05-01,29507.840132532136,16155.723707642075,42859.95655742219,29974.798395576778,16777.79458578788,43171.802205365675,02. I - TARAPACÁ
2026-06-01,30090.63175973633,16690.518664052066,43490.74485542059,29740.407380868135,16123.43533246811,43357.379429268156,02. I - TARAPACÁ
2026-01-01,214.50520067570577,0,1116.4680643299148,575.7624187623824,0,1383.6058027865297,Aeropuerto Diego Aracena
2026-02-01,177.08420231416105,0,1269.1921115811692,232.41332162326944,0,1164.9965362902544,Aeropuerto Diego Aracena
2026-03-01,156.0249445585983,0,1339.0083419884884,190.62679086032176,0,1190.2424191792047,Aeropuerto Diego Aracena
2026-04-01,144.17351470281497,0,1381.908037423497,0,0,1035.5006806390982,Aeropuerto Diego Aracena
2026-05-01,137.50393540154775,0,1414.212536208543,5.6687937341203,0,1113.9793044460648,Aeropuerto Diego Aracena
2026-06-01,133.7505243281839,0,1441.7390628767873,0,0,1103.1886331019998,Aeropuerto Diego Aracena
2026-01-01,0.04567891334092364,0,37.211534735374286,0.5454996331862801,0,38.730228894957826,Apacheta de Irpa
2026-02-01,0.05469036731702665,0,38.68414380439286,5.3289857399672895,0,45.213848769419016,Apacheta de Irpa
2026-03-01,0.06773907800679183,0,41.310931644441574,0,0,39.7927690540402,Apacheta de Irpa
2026-04-01,0.07253681643969509,0,42.21300462692051,0,0,42.283017575346584,Apacheta de Irpa
2026-05-01,0.0767029822881274,0,43.06035505038361,2.665157984862913,0,46.12763043825624,Apacheta de Irpa
2026-06-01,0.07870868386521258,0,43.62959760552289,0,0,44.017076932456874,Apacheta de Irpa
2026-01-01,43751.99047387435,34364.032270691525,53139.948677057175,40354.97885706462,31074.94640694287,49635.011307186374,Colchane
2026-02-01,41029.904921199544,28259.066546046808,53800.74329635228,32694.129221675397,21641.676030781564,43746.58241256923,Colchane
2026-03-01,40503.10296496386,25545.805186937298,55460.400742990416,31472.318052676434,19509.884942800585,43434.75116255228,Colchane
2026-04-01,40650.79411753983,24204.708827430608,57096.87940764905,30018.681334625777,17431.62748037215,42605.73518887941,Colchane
2026-05-01,38928.73064308527,21372.036522509938,56485.4247636606,29890.70767734157,16806.032651814283,42975.382702868854,Colchane
