Fecha,Aeropuerto,Pasajeros,Capacidad,LoadFactor
2013-05-01,Aeropuerto Diego Aracena,1397,2336.95,59.778771475641335
2013-05-01,Aeropuerto Isla de Pascua,220,396,55.55555555555556
2013-05-01,Aeropuerto Punta Arenas,107,263.85,40.55334470342998
2013-05-01,Chacalluta - Aeropuerto,605,1092.8999999999996,55.35730624942815
2013-06-01,Aeropuerto C. Arturo Merino Benítez,246829.49,360307.8,68.50517529734299
2013-06-01,Aeropuerto Cerro Moreno,871,945.55,92.11569985722595
2013-06-01,Aeropuerto Diego Aracena,1428,2336.95,61.105286805451556
2013-06-01,Aeropuerto Isla de Pascua,188,396,47.474747474747474
2013-06-01,Aeropuerto Punta Arenas,98,263.85,37.14231570968353
2013-06-01,Chacalluta - Aeropuerto,458,1092.8999999999996,41.90685332601337
2013-07-01,Aeropuerto C. Arturo Merino Benítez,243690,363027.19999999995,67.1272014879326
2013-07-01,Aeropuerto Cerro Moreno,876,945.55,92.64449262334091
2013-07-01,Aeropuerto Diego Aracena,2033,2335.2,87.05892428914012
2013-07-01,Aeropuerto Isla de Pascua,397,396.45000000000005,100.13873123975279
2013-07-01,Aeropuerto Punta Arenas,116,265.75,43.65004703668862
2013-07-01,Chacalluta - Aeropuerto,639,1092.8999999999996,58.46829536096626
2013-08-01,Aeropuerto C. Arturo Merino Benítez,279333.39,364266.35,76.68383038949385
2013-08-01,Aeropuerto Cerro Moreno,764,770.3,99.18213682980658
2013-08-01,Aeropuerto Diego Aracena,1596,2314.25,68.964027222642315
2013-08-01,Aeropuerto Isla de Pascua,296,396.45000000000005,74.66263084878294
2013-08-01,Aeropuerto Punta Arenas,168,265.95,63.169768753525105
2013-08-01,Chacalluta - Aeropuerto,471,876.8999999999996,53.71193978788917
2013-09-01,Aeropuerto C. Arturo Merino Benítez,245602.67,379025.64999999997,64.79842986879649
2013-09-01,Aeropuerto Cerro Moreno,843,807.25,104.42861567048622
2013-09-01,Aeropuerto Diego Aracena,1793,2294.0499999999997,78.15871493646608
2013-09-01,Aeropuerto Isla de Pascua,242,396.45000000000005,61.0417454912347
2013-09-01,Aeropuerto Punta Arenas,91,262.34999999999997,34.6864875166762
2013-09-01,Chacalluta - Aeropuerto,582,876.8999999999996,66.37016763599046
2013-10-01,Aeropuerto C. Arturo Merino Benítez,269494.35,363582.95,74.12183382086536
2013-10-01,Aeropuerto Cerro Moreno,611,807.25,75.68906782285538
2013-10-01,Aeropuerto Diego Aracena,1721,2294.0499999999997,75.0201608508969
2013-10-01,Aeropuerto Isla de Pascua,288,396.45000000000005,72.64472190692393
2013-10-01,Aeropuerto Punta Arenas,132,261.59999999999997,50.458715596330286
2013-10-01,Chacalluta - Aeropuerto,582,876.8999999999996,66.37016763599046
2013-11-01,Aeropuerto C. Arturo Merino Benítez,251683.03,367609.5,68.46477852177378
2013-11-01,Aeropuerto Cerro Moreno,583,807.25,72.22050170331372
2013-11-01,Aeropuerto Diego Aracena,1759,2294.0499999999997,76.67661995161397
